first_name,last_name,birth_date,from_date,title,to_date
Hilari,Morton,1965-01-03,1994-03-10,Senior Staff,9999-01-01
Ohad,Esposito,1965-01-19,1998-08-06,Technique Leader,9999-01-01
Dipayan,Seghrouchni,1965-01-23,1987-03-30,Senior Staff,9999-01-01
Kokou,Iisaka,1965-01-01,1987-09-20,Senior Staff,9999-01-01
Teunis,Noriega,1965-01-09,1999-02-12,Technique Leader,9999-01-01
Lech,Himler,1965-01-19,1992-01-21,Senior Staff,9999-01-01
Juyoung,Seghrouchni,1965-01-24,1993-08-02,Senior Engineer,9999-01-01
Keiichiro,Glinert,1965-01-21,1993-09-16,Engineer,9999-01-01
Rasiah,Sudkamp,1965-01-10,1995-04-18,Senior Engineer,9999-01-01
Morrie,Schurmann,1965-01-30,1998-12-31,Staff,9999-01-01
Kazuhiko,Sidou,1965-01-16,1991-09-01,Technique Leader,9999-01-01
Denny,Tchuente,1965-01-03,1991-05-30,Assistant Engineer,9999-01-01
Sudhanshu,Demian,1965-01-03,1994-07-23,Senior Staff,9999-01-01
Magdalena,Cannard,1965-01-10,1994-04-22,Engineer,9999-01-01
Caolyn,Setiz,1965-01-22,1990-02-06,Senior Staff,9999-01-01
Sastry,Marrevee,1965-01-19,1999-09-25,Engineer,9999-01-01
Nakhoon,Luga,1965-01-14,1986-12-18,Senior Staff,9999-01-01
Nikolaos,Kruskal,1965-01-18,1990-12-17,Engineer,9999-01-01
Bouchung,Bugrara,1965-01-30,1990-06-18,Senior Staff,9999-01-01
Arvin,Rabejac,1965-01-17,1994-01-01,Engineer,9999-01-01
Remmert,Schahn,1965-01-14,1986-09-06,Senior Staff,9999-01-01
Gaurav,Swick,1965-01-21,1996-05-07,Assistant Engineer,9999-01-01
Morris,Garigliano,1965-01-15,1995-05-24,Senior Staff,9999-01-01
Berry,DeMori,1965-01-02,1992-12-27,Engineer,9999-01-01
Yaghout,Kenevan,1965-01-31,2000-09-15,Engineer,9999-01-01
Zengping,Boreale,1965-01-11,1998-12-16,Staff,9999-01-01
Gennady,Roison,1965-01-16,1989-12-06,Assistant Engineer,9999-01-01
